title
n = 25
P = 6
1 1 4
1 2 9
1 3 10
1 4 6
1 5 6
1 6 8
1 7 5
1 8 8
1 9 2
1 10 3
1 11 5
1 12 7
1 13 5
1 14 10
1 15 6
1 16 9
1 17 3
1 18 7
1 19 8
1 20 5
1 21 9
1 22 4
1 23 4
1 24 9
1 25 7
2 1 8
2 2 3
2 3 7
2 4 10
2 5 8
2 6 2
2 7 5
2 8 9
2 9 6
2 10 2
2 11 4
2 12 6
2 13 1
2 14 2
2 15 10
2 16 2
2 17 5
2 18 8
2 19 7
2 20 9
2 21 7
2 22 7
2 23 9
2 24 4
2 25 8
3 1 5
3 2 2
3 3 6
3 4 10
3 5 4
3 6 10
3 7 5
3 8 10
3 9 9
3 10 7
3 11 3
3 12 7
3 13 10
3 14 2
3 15 3
3 16 3
3 17 8
3 18 8
3 19 2
3 20 4
3 21 10
3 22 8
3 23 7
3 24 8
3 25 1
4 1 7
4 2 5
4 3 4
4 4 1
4 5 2
4 6 1
4 7 9
4 8 6
4 9 1
4 10 9
4 11 10
4 12 3
4 13 7
4 14 3
4 15 10
4 16 1
4 17 9
4 18 6
4 19 4
4 20 5
4 21 10
4 22 3
4 23 9
4 24 1
4 25 4
5 1 7
5 2 1
5 3 1
5 4 6
5 5 10
5 6 4
5 7 9
5 8 2
5 9 8
5 10 8
5 11 3
5 12 5
5 13 7
5 14 10
5 15 3
5 16 1
5 17 1
5 18 2
5 19 3
5 20 4
5 21 7
5 22 3
5 23 1
5 24 10
5 25 8
6 1 7
6 2 1
6 3 10
6 4 3
6 5 4
6 6 6
6 7 4
6 8 1
6 9 7
6 10 9
6 11 10
6 12 1
6 13 1
6 14 1
6 15 9
6 16 3
6 17 4
6 18 8
6 19 1
6 20 2
6 21 1
6 22 4
6 23 2
6 24 3
6 25 8
7 1 1
7 2 2
7 3 3
7 4 9
7 5 6
7 6 8
7 7 5
7 8 6
7 9 6
7 10 7
7 11 4
7 12 3
7 13 2
7 14 8
7 15 5
7 16 10
7 17 6
7 18 8
7 19 9
7 20 2
7 21 10
7 22 8
7 23 10
7 24 4
7 25 9
8 1 2
8 2 1
8 3 9
